subject_id,item_id,counterbalance,n_ingroup,n_outgroup,goal,tangram,response.earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,0,social,A,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,8,refer,A,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,16,refer,H,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,8,refer,D,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,2,refer,D,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,8,refer,H,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,8,refer,C,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,16,social,H,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,2,refer,L,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,0,social,D,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,16,refer,B,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,4,refer,A,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,0,refer,C,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,0,8,refer,C,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,0,2,refer,H,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,1,social,L,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,0,refer,A,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,0,1,refer,C,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,2,refer,H,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,4,social,B,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,4,social,L,later
5271aaf5-5333-49a1-b108-3c1afc554142,1,a,3,4,social,K,earlier
5271aaf5-5333-49a1-b108-3c1afc554142,1,a,3,2,refer,E,later
5271aaf5-5333-49a1-b108-3c1afc554142,1,a,1,4,social,F,earlier
5271aaf5-5333-49a1-b108-3c1afc554142,1,a,1,16,social,J,earlier
5271aaf5-5333-49a1-b108-3c1afc554142,1,a,2,4,social,J,later
